Country,Year,Arable land (% of total land area),Arable land (thousand hectares),Forest cover (% of total land area),Forest cover (thousand hectares),Important sites for terrestrial biodiversity protected (% of total sites protected),Land area (thousand hectares),Permanent crops (% of total land area),Permanent crops (thousand hectares)
Tonga,2017,25.0,18.0,12.5,9.0,26.0737,72.0,15.2778,11.0
Tonga,2019,,,,,26.0737,,,
"Total, all countries or areas",2005,10.4393,1356869.48,31.0266,4032742.686,36.2153,12997688.28,1.1208,145680.55
"Total, all countries or areas",2010,10.3703,1347680.89,30.9002,4015672.963,40.8525,12995614.99,1.2178,158259.18
"Total, all countries or areas",2017,10.6953,1390698.8055,30.7558,3999133.622,43.5335,13002855.208,1.2911,167877.4475
"Total, all countries or areas",2019,,,,,43.7193,,,
Trinidad and Tobago,2005,4.8733,25.0,44.8343,230.0,32.003,513.0,4.2885,22.0
Trinidad and Tobago,2010,4.8733,25.0,44.1326,226.4,32.003,513.0,4.2885,22.0
Trinidad and Tobago,2017,4.8733,25.0,45.7068,234.476,32.003,513.0,4.2885,22.0
Trinidad and Tobago,2019,,,,,32.003,,,
Tunisia,2005,17.5721,2730.0,5.8895,915.0,16.801,15536.0,13.9418,2166.0
Tunisia,2010,18.1707,2823.0,6.3723,990.0,24.8223,15536.0,15.2098,2363.0
Tunisia,2017,16.7804,2607.0,6.7006,1041.0,40.0873,15536.0,15.3579,2386.0
Tunisia,2019,,,,,40.0873,,,
Turkey,2005,30.9629,23830.0,13.8534,10662.0,2.2801,76963.0,3.6069,2776.0
Turkey,2010,27.7848,21384.0,14.5563,11203.0,2.2801,76963.0,3.9123,3011.0
Turkey,2017,26.0333,20036.0,15.2216,11715.0,2.3359,76963.0,4.3501,3348.0
Turkey,2019,,,,,2.3359,,,
Turkmenistan,2005,4.3411,2040.0,8.7822,4127.0,14.0409,46993.0,0.1277,60.0
Turkmenistan,2010,4.1283,1940.0,8.7822,4127.0,14.0409,46993.0,0.1277,60.0
Turkmenistan,2017,4.1283,1940.0,8.7822,4127.0,14.0409,46993.0,0.1277,60.0
Turkmenistan,2019,,,,,14.0409,,,
Turks and Caicos Islands,2005,1.0526,1.0,36.2105,34.4,27.9418,95.0,,
Turks and Caicos Islands,2010,1.0526,1.0,36.2105,34.4,27.9418,95.0,,
Turks and Caicos Islands,2017,1.0526,1.0,36.2105,34.4,27.9418,95.0,,
Turks and Caicos Islands,2019,,,,,27.9418,,,
Tuvalu,2005,,,33.3333,1.0,,3.0,56.6667,1.7
Tuvalu,2010,,,33.3333,1.0,,3.0,60.0,1.8
Tuvalu,2017,,,33.3333,1.0,,3.0,60.0,1.8
Uganda,2005,29.7783,5950.0,17.1613,3429.0,64.3722,19981.0,11.0105,2200.0
Uganda,2010,33.6625,6750.0,13.7293,2753.0,70.605,20052.0,10.9715,2200.0
Uganda,2017,34.4105,6900.0,10.3581,2077.0,70.605,20052.0,10.9715,2200.0
Uganda,2019,,,,,70.605,,,
Ukraine,2005,56.0116,32452.0,16.5263,9575.0,21.2792,57938.0,1.5551,901.0
Ukraine,2010,56.0606,32477.0,16.4814,9548.0,21.3493,57932.0,1.5484,897.0
Ukraine,2017,56.5752,32774.0,16.6701,9657.0,21.7183,57930.0,1.545,895.0
Ukraine,2019,,,,,21.7183,,,
United Arab Emirates,2005,0.9575,68.0,4.3931,312.0,,7102.0,2.6612,189.0
United Arab Emirates,2010,0.7125,50.6,4.4678,317.3,,7102.0,0.5872,41.7
United Arab Emirates,2017,0.6266,44.5,4.5424,322.6,,7102.0,0.5534,39.3
United Kingdom,2005,23.6804,5729.0,12.4871,3021.0,78.4558,24193.0,0.1943,47.0
United Kingdom,2010,24.6766,5970.0,12.6442,3059.0,80.7551,24193.0,0.1901,46.0
United Kingdom,2017,25.1431,6082.8794,12.9955,3144.0,82.6733,24193.0,0.1972,47.707
United Kingdom,2019,,,,,82.7592,,,
United Rep. of Tanzania,2005,10.9506,9700.0,56.3558,49920.0,60.2441,88580.0,1.874,1660.0
United Rep. of Tanzania,2010,13.0955,11600.0,54.098,47920.0,62.9478,88580.0,2.0885,1850.0
United Rep. of Tanzania,2017,15.2405,13500.0,51.9982,46060.0,62.9478,88580.0,2.4272,2150.0
United Rep. of Tanzania,2019,,,,,62.9478,,,
United States Virgin Islands,2005,5.7143,2.0,53.5143,18.73,39.8758,35.0,2.8571,1.0
United States Virgin Islands,2010,2.8571,1.0,51.8857,18.16,39.8758,35.0,2.8571,1.0
United States Virgin Islands,2017,2.8571,1.0,50.2857,17.6,39.8758,35.0,2.8571,1.0
United States Virgin Islands,2019,,,,,39.8758,,,
United States of America,2005,18.148,166270.6,33.2634,304757.0,43.2735,916192.0,0.2947,2700.0
United States of America,2010,17.2526,157816.5,33.7494,308720.0,49.4321,914742.0,0.2842,2600.0
United States of America,2017,17.2548,157836.8,33.8997,310095.0,51.2059,914742.0,0.2842,2600.0
United States of America,2019,,,,,51.2059,,,
Uruguay,2005,7.9534,1392.0,8.695,1521.8,10.3739,17502.0,0.2285,40.0
Uruguay,2010,11.6158,2033.0,9.892,1731.3,20.7195,17502.0,0.2171,38.0
Uruguay,2017,13.8841,2430.0,10.5417,1845.0,20.7995,17502.0,0.2228,39.0
Uruguay,2019,,,,,20.7995,,,
Uzbekistan,2005,10.2656,4367.0,7.7457,3295.0,10.1113,42540.0,0.8204,349.0
Uzbekistan,2010,9.8072,4172.0,7.6998,3275.5,10.1113,42540.0,0.8439,359.0
Uzbekistan,2017,9.465,4026.4,7.5691,3219.9,10.1114,42540.0,0.9205,391.6
Uzbekistan,2019,,,,,10.1114,,,
Vanuatu,2005,1.6407,20.0,36.0952,440.0,2.8404,1219.0,9.9262,121.0
Vanuatu,2010,1.6407,20.0,36.0952,440.0,2.8404,1219.0,10.2543,125.0
Vanuatu,2017,1.6407,20.0,36.0952,440.0,2.8404,1219.0,10.2543,125.0
Vanuatu,2019,,,,,2.8404,,,
Venezuela (Boliv. Rep. of),2005,3.01,2655.0,54.0933,47713.0,52.536,88205.0,0.7936,700.0
Venezuela (Boliv. Rep. of),2010,2.9477,2600.0,53.8575,47505.0,52.536,88205.0,0.7936,700.0
Venezuela (Boliv. Rep. of),2017,2.9477,2600.0,52.9256,46683.0,52.536,88205.0,0.7936,700.0
Venezuela (Boliv. Rep. of),2019,,,,,52.536,,,
Viet Nam,2005,20.505,6358.0,42.1743,13077.0,27.5853,31007.0,9.8497,3054.1
Viet Nam,2010,20.7611,6437.4,45.5639,14128.0,30.298,31007.0,11.8705,3680.7
Viet Nam,2017,22.5378,6988.3,47.6441,14773.0,39.1602,31007.0,14.637,4538.5
Viet Nam,2019,,,,,39.1602,,,
Wallis and Futuna Islands,2005,7.1429,1.0,41.5,5.81,,14.0,35.7143,5.0
Wallis and Futuna Islands,2010,7.1429,1.0,41.5714,5.82,,14.0,35.7143,5.0
Wallis and Futuna Islands,2017,7.1429,1.0,41.6429,5.83,,14.0,35.7143,5.0
Western Africa,2005,13.3534,80976.02,12.2129,74059.59,,606406.0,2.5499,15463.0
Western Africa,2010,13.6634,82855.38,11.6016,70353.09,,606406.0,2.7031,16392.0
Western Africa,2017,14.4027,87339.0,11.0608,67073.403,,606406.0,2.6815,16261.0
Western Asia,2005,8.8093,42240.0,3.8263,18346.719,10.427,479491.0,1.1214,5376.9
Western Asia,2010,7.9481,38091.33,3.9861,19103.187,15.1516,479247.8,1.1734,5623.37
Western Asia,2017,7.9539,38116.648,4.1242,19763.924,16.9029,479219.0,1.2914,6188.441
Western Asia,2019,,,,,16.9949,,,
Western Europe,2005,31.4147,34086.4,30.8243,33445.8,,108504.5,1.3389,1452.8
Western Europe,2010,31.1914,33836.85,31.4117,34075.8,,108481.4,1.2527,1359.0
Western Europe,2017,31.2303,33900.689,31.9519,34684.0,,108550.603,1.2462,1352.7365
Western Sahara,2005,0.015,4.0,2.6579,707.0,,26600.0,,
Western Sahara,2010,0.015,4.0,2.6579,707.0,,26600.0,,
Western Sahara,2017,0.015,4.0,2.6579,707.0,,26600.0,,
Yemen,2005,2.4376,1287.0,1.0398,549.0,0.0,52797.0,0.447,236.0
Yemen,2010,2.4452,1291.0,1.0398,549.0,19.4405,52797.0,0.5455,288.0
Yemen,2017,2.0791,1097.7,1.0398,549.0,19.4405,52797.0,0.5493,290.0
Yemen,2019,,,,,19.4405,,,
Zambia,2005,3.6683,2727.0,67.6643,50301.0,45.4815,74339.0,0.0471,35.0
Zambia,2010,4.5736,3400.0,66.5438,49468.0,45.4815,74339.0,0.0484,36.0
Zambia,2017,5.1117,3800.0,65.4233,48635.0,45.4815,74339.0,0.0484,36.0
Zambia,2019,,,,,45.4815,,,
Zimbabwe,2005,10.0814,3900.0,44.6142,17259.0,76.1117,38685.0,0.2585,100.0
Zimbabwe,2010,10.3399,4000.0,40.3877,15624.0,76.1117,38685.0,0.2585,100.0
Zimbabwe,2017,10.3399,4000.0,36.35,14062.0,81.2176,38685.0,0.2585,100.0
Zimbabwe,2019,,,,,81.2176,,,
