Country,Year,Threatened Species: Invertebrates (number),Threatened Species: Plants (number),Threatened Species: Total (number),Threatened Species: Vertebrates (number)
Luxembourg,2004,4.0,0.0,10.0,6.0
Luxembourg,2010,4.0,0.0,5.0,1.0
Luxembourg,2016,7.0,0.0,11.0,4.0
Luxembourg,2017,7.0,0.0,11.0,4.0
Luxembourg,2018,7.0,0.0,11.0,4.0
Luxembourg,2019,7.0,5.0,16.0,4.0
Luxembourg,2020,7.0,5.0,16.0,4.0
Madagascar,2004,32.0,276.0,530.0,222.0
Madagascar,2010,100.0,280.0,663.0,283.0
Madagascar,2016,110.0,607.0,1244.0,527.0
Madagascar,2017,172.0,609.0,1324.0,543.0
Madagascar,2018,194.0,871.0,1616.0,551.0
Madagascar,2019,195.0,1624.0,2373.0,554.0
Madagascar,2020,195.0,2159.0,2910.0,556.0
Malawi,2004,11.0,14.0,50.0,25.0
Malawi,2010,17.0,14.0,158.0,127.0
Malawi,2016,16.0,24.0,175.0,135.0
Malawi,2017,16.0,24.0,176.0,136.0
Malawi,2018,14.0,26.0,176.0,136.0
Malawi,2019,14.0,37.0,125.0,74.0
Malawi,2020,14.0,42.0,130.0,74.0
Malaysia,2004,19.0,683.0,892.0,190.0
Malaysia,2010,242.0,692.0,1180.0,246.0
Malaysia,2016,262.0,721.0,1265.0,282.0
Malaysia,2017,264.0,720.0,1272.0,288.0
Malaysia,2018,265.0,712.0,1257.0,280.0
Malaysia,2019,282.0,813.0,1438.0,343.0
Malaysia,2020,314.0,997.0,1662.0,351.0
Maldives,2004,0.0,0.0,12.0,12.0
Maldives,2010,39.0,0.0,59.0,20.0
Maldives,2016,46.0,0.0,75.0,29.0
Maldives,2017,46.0,0.0,75.0,29.0
Maldives,2018,46.0,0.0,75.0,29.0
Maldives,2019,46.0,0.0,79.0,33.0
Maldives,2020,45.0,0.0,80.0,35.0
Mali,2004,0.0,6.0,25.0,19.0
Mali,2010,0.0,6.0,29.0,23.0
Mali,2016,0.0,8.0,42.0,34.0
Mali,2017,0.0,8.0,42.0,34.0
Mali,2018,0.0,11.0,46.0,35.0
Mali,2019,0.0,24.0,61.0,37.0
Mali,2020,0.0,25.0,62.0,37.0
Malta,2004,3.0,0.0,25.0,22.0
Malta,2010,3.0,3.0,26.0,20.0
Malta,2016,5.0,4.0,39.0,30.0
Malta,2017,5.0,4.0,39.0,30.0
Malta,2018,5.0,4.0,39.0,30.0
Malta,2019,5.0,4.0,40.0,31.0
Malta,2020,6.0,5.0,49.0,38.0
Marshall Islands,2004,1.0,0.0,13.0,12.0
Marshall Islands,2010,67.0,0.0,84.0,17.0
Marshall Islands,2016,73.0,0.0,98.0,25.0
Marshall Islands,2017,73.0,0.0,101.0,28.0
Marshall Islands,2018,73.0,0.0,101.0,28.0
Marshall Islands,2019,73.0,0.0,101.0,28.0
Marshall Islands,2020,73.0,0.0,104.0,31.0
Martinique,2004,1.0,8.0,29.0,20.0
Martinique,2010,1.0,8.0,31.0,22.0
Martinique,2016,2.0,9.0,44.0,33.0
Martinique,2017,2.0,9.0,48.0,37.0
Martinique,2018,2.0,9.0,48.0,37.0
Martinique,2019,2.0,9.0,56.0,45.0
Martinique,2020,2.0,9.0,62.0,51.0
Mauritania,2004,1.0,0.0,26.0,25.0
Mauritania,2010,1.0,0.0,58.0,57.0
Mauritania,2016,3.0,0.0,83.0,80.0
Mauritania,2017,3.0,0.0,86.0,83.0
Mauritania,2018,3.0,0.0,88.0,85.0
Mauritania,2019,3.0,0.0,89.0,86.0
Mauritania,2020,3.0,0.0,94.0,91.0
Mauritius,2004,32.0,87.0,147.0,28.0
Mauritius,2010,98.0,88.0,222.0,36.0
Mauritius,2016,118.0,90.0,253.0,45.0
Mauritius,2017,120.0,90.0,257.0,47.0
Mauritius,2018,120.0,91.0,259.0,48.0
Mauritius,2019,121.0,91.0,266.0,54.0
Mauritius,2020,124.0,92.0,272.0,56.0
Mayotte,2004,1.0,0.0,7.0,6.0
Mayotte,2010,60.0,0.0,69.0,9.0
Mayotte,2016,69.0,0.0,87.0,18.0
Mayotte,2017,70.0,0.0,88.0,18.0
Mayotte,2018,70.0,3.0,92.0,19.0
Mayotte,2019,72.0,4.0,98.0,22.0
Mayotte,2020,72.0,4.0,102.0,26.0
Mexico,2004,41.0,261.0,748.0,446.0
Mexico,2010,79.0,255.0,943.0,609.0
Mexico,2016,102.0,402.0,1152.0,648.0
Mexico,2017,106.0,401.0,1162.0,655.0
Mexico,2018,106.0,450.0,1213.0,657.0
Mexico,2019,113.0,529.0,1378.0,736.0
Mexico,2020,114.0,791.0,1656.0,751.0
Micronesia (Fed. States of),2004,4.0,4.0,30.0,22.0
Micronesia (Fed. States of),2010,108.0,5.0,148.0,35.0
Micronesia (Fed. States of),2016,115.0,4.0,167.0,48.0
Micronesia (Fed. States of),2017,114.0,4.0,167.0,49.0
Micronesia (Fed. States of),2018,114.0,4.0,168.0,50.0
Micronesia (Fed. States of),2019,114.0,5.0,168.0,49.0
Micronesia (Fed. States of),2020,116.0,5.0,170.0,49.0
Monaco,2004,0.0,0.0,9.0,9.0
Monaco,2010,0.0,0.0,11.0,11.0
Monaco,2016,3.0,0.0,20.0,17.0
Monaco,2017,3.0,0.0,21.0,18.0
Monaco,2018,3.0,1.0,22.0,18.0
Monaco,2019,3.0,2.0,24.0,19.0
Monaco,2020,4.0,2.0,34.0,28.0
Mongolia,2004,3.0,0.0,39.0,36.0
Mongolia,2010,3.0,0.0,36.0,33.0
Mongolia,2016,3.0,0.0,40.0,37.0
Mongolia,2017,3.0,0.0,41.0,38.0
Mongolia,2018,3.0,0.0,40.0,37.0
Mongolia,2019,3.0,2.0,42.0,37.0
Mongolia,2020,3.0,3.0,43.0,37.0
Montenegro,2010,28.0,0.0,72.0,44.0
Montenegro,2016,35.0,2.0,94.0,57.0
Montenegro,2017,39.0,2.0,98.0,57.0
Montenegro,2018,42.0,3.0,101.0,56.0
Montenegro,2019,42.0,7.0,104.0,55.0
Montenegro,2020,43.0,10.0,113.0,60.0
Montserrat,2004,0.0,3.0,21.0,18.0
Montserrat,2010,11.0,3.0,35.0,21.0
Montserrat,2016,11.0,6.0,53.0,36.0
Montserrat,2017,11.0,6.0,55.0,38.0
Montserrat,2018,11.0,6.0,56.0,39.0
Montserrat,2019,11.0,6.0,59.0,42.0
Montserrat,2020,11.0,7.0,62.0,44.0
Morocco,2004,8.0,2.0,50.0,40.0
Morocco,2010,40.0,31.0,157.0,86.0
Morocco,2016,60.0,38.0,199.0,101.0
Morocco,2017,66.0,38.0,207.0,103.0
Morocco,2018,69.0,49.0,223.0,105.0
Morocco,2019,69.0,55.0,227.0,103.0
Morocco,2020,71.0,61.0,238.0,106.0
Mozambique,2004,5.0,46.0,115.0,64.0
Mozambique,2010,59.0,52.0,209.0,98.0
Mozambique,2016,67.0,84.0,278.0,127.0
Mozambique,2017,67.0,113.0,309.0,129.0
Mozambique,2018,67.0,122.0,321.0,132.0
Mozambique,2019,65.0,170.0,377.0,142.0
Mozambique,2020,65.0,208.0,426.0,153.0
Myanmar,2004,2.0,38.0,147.0,107.0
Myanmar,2010,64.0,42.0,249.0,143.0
Myanmar,2016,77.0,61.0,316.0,178.0
Myanmar,2017,77.0,61.0,321.0,183.0
Myanmar,2018,77.0,61.0,325.0,187.0
Myanmar,2019,77.0,63.0,337.0,197.0
Myanmar,2020,77.0,80.0,357.0,200.0
Namibia,2004,1.0,24.0,69.0,44.0
Namibia,2010,0.0,26.0,92.0,66.0
Namibia,2016,4.0,28.0,113.0,81.0
Namibia,2017,4.0,27.0,115.0,84.0
Namibia,2018,4.0,27.0,116.0,85.0
Namibia,2019,4.0,27.0,115.0,84.0
Namibia,2020,4.0,28.0,117.0,85.0
Nauru,2004,0.0,0.0,5.0,5.0
Nauru,2010,62.0,0.0,74.0,12.0
Nauru,2016,68.0,0.0,82.0,14.0
Nauru,2017,68.0,0.0,82.0,14.0
Nauru,2018,68.0,0.0,82.0,14.0
Nauru,2019,68.0,0.0,83.0,15.0
Nauru,2020,68.0,0.0,86.0,18.0
Nepal,2004,1.0,7.0,77.0,69.0
Nepal,2010,3.0,7.0,93.0,83.0
Nepal,2016,3.0,17.0,107.0,87.0
Nepal,2017,3.0,17.0,104.0,84.0
Nepal,2018,3.0,17.0,104.0,84.0
Nepal,2019,3.0,19.0,107.0,85.0
Nepal,2020,3.0,20.0,109.0,86.0
Netherlands,2004,7.0,0.0,34.0,27.0
Netherlands,2010,6.0,0.0,24.0,18.0
Netherlands,2016,10.0,3.0,39.0,26.0
Netherlands,2017,10.0,3.0,40.0,27.0
Netherlands,2018,11.0,4.0,43.0,28.0
Netherlands,2019,11.0,19.0,59.0,29.0
Netherlands,2020,11.0,29.0,71.0,31.0
Netherlands Antilles [former],2004,0.0,2.0,28.0,26.0
Netherlands Antilles [former],2010,11.0,3.0,38.0,24.0
New Caledonia,2004,11.0,217.0,262.0,34.0
New Caledonia,2010,97.0,257.0,415.0,61.0
New Caledonia,2016,125.0,286.0,525.0,114.0
New Caledonia,2017,125.0,285.0,526.0,116.0
New Caledonia,2018,125.0,350.0,592.0,117.0
New Caledonia,2019,125.0,350.0,593.0,118.0
New Caledonia,2020,129.0,510.0,759.0,120.0
New Zealand,2004,14.0,21.0,149.0,114.0
New Zealand,2010,15.0,21.0,153.0,117.0
New Zealand,2016,46.0,23.0,197.0,128.0
New Zealand,2017,46.0,23.0,199.0,130.0
New Zealand,2018,61.0,24.0,216.0,131.0
New Zealand,2019,61.0,24.0,247.0,162.0
New Zealand,2020,61.0,34.0,261.0,166.0
Nicaragua,2004,2.0,39.0,90.0,49.0
Nicaragua,2010,17.0,43.0,121.0,61.0
Nicaragua,2016,20.0,46.0,144.0,78.0
Nicaragua,2017,20.0,46.0,144.0,78.0
Nicaragua,2018,20.0,50.0,149.0,79.0
Nicaragua,2019,20.0,49.0,153.0,84.0
Nicaragua,2020,20.0,52.0,161.0,89.0
Niger,2004,1.0,2.0,15.0,12.0
Niger,2010,2.0,2.0,26.0,22.0
Niger,2016,1.0,3.0,33.0,29.0
Niger,2017,1.0,3.0,34.0,30.0
Niger,2018,1.0,3.0,36.0,32.0
Niger,2019,1.0,4.0,37.0,32.0
Niger,2020,1.0,4.0,37.0,32.0
Nigeria,2004,1.0,170.0,232.0,61.0
Nigeria,2010,12.0,172.0,297.0,113.0
Nigeria,2016,17.0,197.0,359.0,145.0
Nigeria,2017,17.0,196.0,361.0,148.0
Nigeria,2018,13.0,203.0,364.0,148.0
Nigeria,2019,13.0,208.0,372.0,151.0
Nigeria,2020,13.0,211.0,380.0,156.0
Niue,2004,0.0,0.0,12.0,12.0
Niue,2010,23.0,0.0,43.0,20.0
Niue,2016,30.0,0.0,52.0,22.0
Niue,2017,30.0,0.0,52.0,22.0
Niue,2018,30.0,0.0,52.0,22.0
Niue,2019,30.0,0.0,53.0,23.0
Niue,2020,30.0,1.0,56.0,25.0
Norfolk Island,2004,12.0,1.0,34.0,21.0
Norfolk Island,2010,21.0,1.0,41.0,19.0
Norfolk Island,2016,23.0,1.0,42.0,18.0
Norfolk Island,2017,23.0,2.0,44.0,19.0
Norfolk Island,2018,23.0,2.0,44.0,19.0
Norfolk Island,2019,23.0,2.0,46.0,21.0
Norfolk Island,2020,23.0,2.0,50.0,25.0
North Macedonia,2004,5.0,0.0,29.0,24.0
North Macedonia,2010,59.0,0.0,90.0,31.0
North Macedonia,2016,70.0,0.0,104.0,34.0
North Macedonia,2017,75.0,0.0,110.0,35.0
North Macedonia,2018,86.0,5.0,125.0,34.0
North Macedonia,2019,86.0,7.0,127.0,34.0
North Macedonia,2020,86.0,13.0,133.0,34.0
Northern Mariana Islands,2004,2.0,4.0,28.0,22.0
Northern Mariana Islands,2010,51.0,5.0,85.0,29.0
Northern Mariana Islands,2016,57.0,5.0,101.0,39.0
Northern Mariana Islands,2017,57.0,5.0,102.0,40.0
Northern Mariana Islands,2018,,5.0,102.0,40.0
Northern Mariana Islands,2019,57.0,6.0,102.0,39.0
Northern Mariana Islands,2020,57.0,6.0,105.0,42.0
Norway,2004,9.0,2.0,33.0,22.0
Norway,2010,7.0,2.0,36.0,27.0
Norway,2016,10.0,14.0,62.0,38.0
Norway,2017,10.0,14.0,64.0,40.0
Norway,2018,10.0,21.0,73.0,42.0
Norway,2019,10.0,51.0,104.0,43.0
Norway,2020,10.0,61.0,115.0,44.0
Oman,2004,1.0,6.0,55.0,48.0
Oman,2010,26.0,6.0,79.0,47.0
Oman,2016,31.0,6.0,99.0,62.0
Oman,2017,31.0,6.0,99.0,62.0
Oman,2018,31.0,6.0,105.0,68.0
Oman,2019,31.0,6.0,108.0,71.0
Oman,2020,31.0,6.0,112.0,75.0
Other non-specified areas,2004,0.0,78.0,157.0,79.0
Other non-specified areas,2010,122.0,78.0,304.0,104.0
Other non-specified areas,2016,128.0,85.0,336.0,123.0
Other non-specified areas,2017,128.0,86.0,337.0,123.0
Other non-specified areas,2018,128.0,85.0,342.0,129.0
Other non-specified areas,2019,129.0,87.0,350.0,134.0
Other non-specified areas,2020,129.0,89.0,362.0,144.0
Pakistan,2004,0.0,2.0,72.0,70.0
Pakistan,2010,15.0,2.0,109.0,92.0
Pakistan,2016,18.0,12.0,140.0,110.0
Pakistan,2017,18.0,12.0,140.0,110.0
Pakistan,2018,18.0,12.0,145.0,115.0
Pakistan,2019,18.0,12.0,148.0,118.0
Pakistan,2020,18.0,13.0,155.0,124.0
Palau,2004,5.0,3.0,21.0,13.0
Palau,2010,102.0,4.0,128.0,22.0
Palau,2016,146.0,4.0,181.0,31.0
Palau,2017,146.0,4.0,182.0,32.0
Palau,2018,146.0,4.0,184.0,34.0
Palau,2019,146.0,5.0,186.0,35.0
Palau,2020,148.0,5.0,189.0,36.0
Panama,2004,2.0,195.0,310.0,113.0
Panama,2010,20.0,202.0,347.0,125.0
Panama,2016,22.0,208.0,381.0,151.0
Panama,2017,22.0,208.0,383.0,153.0
Panama,2018,22.0,211.0,387.0,154.0
Panama,2019,22.0,211.0,394.0,161.0
Panama,2020,22.0,208.0,400.0,170.0
Papua New Guinea,2004,12.0,142.0,295.0,141.0
Papua New Guinea,2010,171.0,143.0,453.0,139.0
Papua New Guinea,2016,181.0,152.0,488.0,155.0
Papua New Guinea,2017,181.0,152.0,493.0,160.0
Papua New Guinea,2018,180.0,158.0,499.0,161.0
Papua New Guinea,2019,178.0,186.0,530.0,166.0
Papua New Guinea,2020,183.0,229.0,585.0,173.0
Paraguay,2004,0.0,10.0,50.0,40.0
Paraguay,2010,0.0,10.0,48.0,38.0
Paraguay,2016,0.0,19.0,59.0,40.0
Paraguay,2017,0.0,19.0,59.0,40.0
Paraguay,2018,0.0,19.0,62.0,43.0
Paraguay,2019,0.0,20.0,64.0,44.0
Paraguay,2020,1.0,20.0,67.0,46.0
Peru,2004,2.0,274.0,508.0,232.0
Peru,2010,3.0,274.0,551.0,274.0
Peru,2016,8.0,334.0,693.0,351.0
Peru,2017,8.0,326.0,685.0,351.0
Peru,2018,8.0,328.0,713.0,377.0
Peru,2019,9.0,351.0,744.0,384.0
Peru,2020,9.0,414.0,819.0,396.0
Philippines,2004,19.0,212.0,456.0,225.0
Philippines,2010,213.0,222.0,697.0,262.0
Philippines,2016,237.0,239.0,778.0,302.0
Philippines,2017,238.0,239.0,783.0,306.0
Philippines,2018,238.0,245.0,785.0,302.0
Philippines,2019,240.0,259.0,783.0,284.0
Philippines,2020,323.0,268.0,884.0,293.0
Pitcairn,2004,5.0,7.0,27.0,15.0
Pitcairn,2010,15.0,7.0,42.0,20.0
Pitcairn,2016,16.0,7.0,44.0,21.0
Pitcairn,2017,16.0,7.0,44.0,21.0
Pitcairn,2018,16.0,7.0,44.0,21.0
Pitcairn,2019,16.0,7.0,42.0,19.0
Pitcairn,2020,16.0,7.0,44.0,21.0
Poland,2004,15.0,4.0,46.0,27.0
Poland,2010,16.0,4.0,37.0,17.0
Poland,2016,22.0,13.0,58.0,23.0
Poland,2017,22.0,13.0,58.0,23.0
Poland,2018,28.0,14.0,66.0,24.0
Poland,2019,28.0,32.0,83.0,23.0
Poland,2020,28.0,44.0,95.0,23.0
Portugal,2004,82.0,15.0,148.0,51.0
Portugal,2010,79.0,21.0,171.0,71.0
Portugal,2016,97.0,83.0,272.0,92.0
Portugal,2017,103.0,84.0,281.0,94.0
Portugal,2018,197.0,104.0,399.0,98.0
Portugal,2019,205.0,150.0,456.0,101.0
Portugal,2020,205.0,154.0,465.0,106.0
Puerto Rico,2004,1.0,52.0,97.0,44.0
Puerto Rico,2010,1.0,53.0,103.0,49.0
Puerto Rico,2016,0.0,57.0,126.0,69.0
Puerto Rico,2017,0.0,57.0,126.0,69.0
Puerto Rico,2018,0.0,63.0,135.0,72.0
Puerto Rico,2019,0.0,65.0,141.0,76.0
Puerto Rico,2020,0.0,67.0,146.0,79.0
Qatar,2004,0.0,0.0,12.0,12.0
Qatar,2010,13.0,0.0,32.0,19.0
Qatar,2016,13.0,0.0,39.0,26.0
Qatar,2017,13.0,0.0,39.0,26.0
Qatar,2018,13.0,0.0,45.0,32.0
Qatar,2019,13.0,0.0,50.0,37.0
Qatar,2020,13.0,0.0,50.0,37.0
Republic of Korea,2004,1.0,0.0,55.0,54.0
Republic of Korea,2010,3.0,3.0,64.0,58.0
Republic of Korea,2016,5.0,32.0,109.0,72.0
Republic of Korea,2017,5.0,32.0,111.0,74.0
Republic of Korea,2018,8.0,32.0,118.0,78.0
Republic of Korea,2019,8.0,35.0,125.0,82.0
Republic of Korea,2020,8.0,38.0,136.0,90.0
Republic of Moldova,2004,5.0,0.0,27.0,22.0
Republic of Moldova,2010,3.0,0.0,27.0,24.0
Republic of Moldova,2016,5.0,2.0,33.0,26.0
Republic of Moldova,2017,6.0,2.0,35.0,27.0
Republic of Moldova,2018,6.0,2.0,34.0,26.0
Republic of Moldova,2019,6.0,2.0,33.0,25.0
Republic of Moldova,2020,6.0,2.0,33.0,25.0
Romania,2004,22.0,1.0,63.0,40.0
Romania,2010,24.0,1.0,64.0,39.0
Romania,2016,38.0,5.0,92.0,49.0
Romania,2017,49.0,5.0,104.0,50.0
Romania,2018,68.0,7.0,125.0,50.0
Romania,2019,67.0,20.0,138.0,51.0
Romania,2020,67.0,22.0,140.0,51.0
Russian Federation,2004,30.0,7.0,151.0,114.0
Russian Federation,2010,25.0,8.0,126.0,93.0
Russian Federation,2016,36.0,60.0,230.0,134.0
Russian Federation,2017,39.0,60.0,235.0,136.0
Russian Federation,2018,39.0,60.0,238.0,139.0
Russian Federation,2019,38.0,90.0,267.0,139.0
Russian Federation,2020,38.0,100.0,279.0,141.0
Rwanda,2004,4.0,3.0,37.0,30.0
Rwanda,2010,2.0,4.0,55.0,49.0
Rwanda,2016,2.0,8.0,61.0,51.0
Rwanda,2017,4.0,8.0,62.0,50.0
Rwanda,2018,4.0,41.0,97.0,52.0
Rwanda,2019,4.0,71.0,127.0,52.0
Rwanda,2020,4.0,112.0,168.0,52.0
Réunion,2004,16.0,14.0,48.0,18.0
Réunion,2010,73.0,15.0,104.0,16.0
Réunion,2016,87.0,17.0,128.0,24.0
Réunion,2017,89.0,17.0,130.0,24.0
Réunion,2018,89.0,18.0,131.0,24.0
Réunion,2019,89.0,19.0,137.0,29.0
Réunion,2020,89.0,21.0,145.0,35.0
Saint Barthélemy,2010,11.0,2.0,17.0,4.0
Saint Barthélemy,2016,11.0,2.0,31.0,18.0
Saint Barthélemy,2017,11.0,2.0,31.0,18.0
Saint Barthélemy,2018,11.0,2.0,32.0,19.0
Saint Barthélemy,2019,11.0,2.0,41.0,28.0
Saint Barthélemy,2020,11.0,2.0,44.0,31.0
Saint Helena,2004,2.0,26.0,60.0,32.0
Saint Helena,2010,2.0,27.0,60.0,31.0
Saint Helena,2016,15.0,44.0,98.0,39.0
Saint Helena,2017,15.0,44.0,100.0,41.0
Saint Helena,2018,33.0,44.0,118.0,41.0
Saint Helena,2019,68.0,45.0,155.0,42.0
Saint Helena,2020,83.0,45.0,173.0,45.0
Saint Kitts and Nevis,2004,0.0,2.0,19.0,17.0
Saint Kitts and Nevis,2010,10.0,2.0,36.0,24.0
Saint Kitts and Nevis,2016,10.0,2.0,51.0,39.0
Saint Kitts and Nevis,2017,10.0,2.0,52.0,40.0
Saint Kitts and Nevis,2018,10.0,2.0,52.0,40.0
Saint Kitts and Nevis,2019,10.0,2.0,55.0,43.0
Saint Kitts and Nevis,2020,10.0,2.0,57.0,45.0
Saint Lucia,2004,0.0,6.0,29.0,23.0
Saint Lucia,2010,11.0,6.0,46.0,29.0
Saint Lucia,2016,11.0,6.0,60.0,43.0
Saint Lucia,2017,11.0,6.0,62.0,45.0
Saint Lucia,2018,11.0,6.0,62.0,45.0
Saint Lucia,2019,11.0,8.0,67.0,48.0
Saint Lucia,2020,11.0,8.0,69.0,50.0
Saint Martin (French part),2010,11.0,2.0,17.0,4.0
Saint Martin (French part),2016,10.0,3.0,50.0,37.0
Saint Martin (French part),2017,10.0,3.0,52.0,39.0
Saint Martin (French part),2018,10.0,3.0,53.0,40.0
Saint Martin (French part),2019,10.0,3.0,56.0,43.0
Saint Martin (French part),2020,10.0,3.0,59.0,46.0
Saint Pierre and Miquelon,2004,0.0,0.0,2.0,2.0
Saint Pierre and Miquelon,2010,0.0,0.0,4.0,4.0
Saint Pierre and Miquelon,2016,0.0,0.0,11.0,11.0
Saint Pierre and Miquelon,2017,0.0,0.0,12.0,12.0
Saint Pierre and Miquelon,2018,0.0,0.0,14.0,14.0
Saint Pierre and Miquelon,2019,0.0,0.0,16.0,16.0
Saint Pierre and Miquelon,2020,0.0,0.0,19.0,19.0
Saint Vincent & Grenadines,2004,0.0,4.0,24.0,20.0
Saint Vincent & Grenadines,2010,10.0,4.0,38.0,24.0
Saint Vincent & Grenadines,2016,10.0,5.0,56.0,41.0
Saint Vincent & Grenadines,2017,10.0,5.0,58.0,43.0
Saint Vincent & Grenadines,2018,10.0,5.0,59.0,44.0
Saint Vincent & Grenadines,2019,10.0,6.0,61.0,45.0
Saint Vincent & Grenadines,2020,10.0,5.0,65.0,50.0
Samoa,2004,1.0,2.0,18.0,15.0
Samoa,2010,53.0,2.0,78.0,23.0
Samoa,2016,62.0,2.0,93.0,29.0
Samoa,2017,62.0,2.0,93.0,29.0
Samoa,2018,62.0,2.0,93.0,29.0
Samoa,2019,63.0,2.0,95.0,30.0
Samoa,2020,64.0,3.0,100.0,33.0
San Marino,2010,0.0,0.0,0.0,0.0
San Marino,2016,1.0,0.0,1.0,0.0
San Marino,2017,1.0,0.0,1.0,0.0
San Marino,2018,1.0,0.0,1.0,0.0
San Marino,2019,1.0,0.0,1.0,0.0
San Marino,2020,1.0,0.0,2.0,1.0
Sao Tome and Principe,2004,2.0,35.0,61.0,24.0
Sao Tome and Principe,2010,2.0,35.0,70.0,33.0
Sao Tome and Principe,2016,5.0,38.0,94.0,51.0
Sao Tome and Principe,2017,5.0,37.0,94.0,52.0
Sao Tome and Principe,2018,4.0,49.0,104.0,51.0
Sao Tome and Principe,2019,4.0,49.0,104.0,51.0
Sao Tome and Principe,2020,4.0,49.0,108.0,55.0
Saudi Arabia,2004,1.0,3.0,41.0,37.0
Saudi Arabia,2010,53.0,3.0,103.0,47.0
Saudi Arabia,2016,59.0,3.0,128.0,66.0
Saudi Arabia,2017,59.0,4.0,131.0,68.0
Saudi Arabia,2018,59.0,4.0,132.0,69.0
Saudi Arabia,2019,60.0,4.0,141.0,77.0
Saudi Arabia,2020,60.0,4.0,144.0,80.0
Senegal,2004,0.0,7.0,47.0,40.0
Senegal,2010,1.0,9.0,82.0,72.0
Senegal,2016,13.0,12.0,120.0,95.0
Senegal,2017,13.0,12.0,123.0,98.0
Senegal,2018,13.0,13.0,127.0,101.0
Senegal,2019,13.0,20.0,139.0,106.0
Senegal,2020,13.0,23.0,145.0,109.0
Serbia,2010,16.0,1.0,46.0,29.0
Serbia,2016,24.0,6.0,65.0,35.0
Serbia,2017,30.0,6.0,71.0,35.0
Serbia,2018,35.0,7.0,77.0,35.0
Serbia,2019,35.0,14.0,84.0,35.0
Serbia,2020,35.0,16.0,86.0,35.0
Serbia and Monten. [former],2004,19.0,1.0,62.0,42.0
Seychelles,2004,4.0,45.0,84.0,35.0
Seychelles,2010,100.0,45.0,190.0,45.0
Seychelles,2016,319.0,62.0,436.0,55.0
Seychelles,2017,320.0,62.0,439.0,57.0
Seychelles,2018,320.0,61.0,439.0,58.0
Seychelles,2019,321.0,61.0,446.0,64.0
Seychelles,2020,321.0,62.0,451.0,68.0
Sierra Leone,2004,4.0,47.0,86.0,35.0
Sierra Leone,2010,6.0,48.0,131.0,77.0
Sierra Leone,2016,8.0,65.0,176.0,103.0
Sierra Leone,2017,8.0,66.0,177.0,103.0
Sierra Leone,2018,8.0,71.0,184.0,105.0
Sierra Leone,2019,8.0,111.0,229.0,110.0
Sierra Leone,2020,8.0,117.0,236.0,111.0
Singapore,2004,1.0,54.0,85.0,30.0
Singapore,2010,162.0,57.0,277.0,58.0
Singapore,2016,173.0,58.0,294.0,63.0
Singapore,2017,173.0,57.0,293.0,63.0
Singapore,2018,173.0,60.0,300.0,67.0
Singapore,2019,173.0,62.0,312.0,77.0
Singapore,2020,177.0,66.0,326.0,83.0
Sint Maarten (Dutch part),2016,10.0,2.0,49.0,37.0
Sint Maarten (Dutch part),2017,10.0,2.0,51.0,39.0
Sint Maarten (Dutch part),2018,10.0,3.0,53.0,40.0
Sint Maarten (Dutch part),2019,10.0,2.0,55.0,43.0
Sint Maarten (Dutch part),2020,10.0,2.0,58.0,46.0
Slovakia,2004,19.0,2.0,48.0,27.0
Slovakia,2010,17.0,2.0,34.0,15.0
Slovakia,2016,22.0,10.0,51.0,19.0
Slovakia,2017,24.0,10.0,54.0,20.0
Slovakia,2018,32.0,28.0,81.0,21.0
Slovakia,2019,32.0,54.0,107.0,21.0
Slovakia,2020,32.0,63.0,116.0,21.0
Slovenia,2004,42.0,0.0,74.0,32.0
Slovenia,2010,59.0,0.0,95.0,36.0
Slovenia,2016,77.0,11.0,138.0,50.0
Slovenia,2017,81.0,11.0,143.0,51.0
Slovenia,2018,83.0,11.0,147.0,53.0
Slovenia,2019,83.0,26.0,162.0,53.0
Slovenia,2020,84.0,33.0,175.0,58.0
Solomon Islands,2004,6.0,16.0,74.0,52.0
Solomon Islands,2010,141.0,16.0,220.0,63.0
Solomon Islands,2016,151.0,17.0,243.0,75.0
Solomon Islands,2017,151.0,17.0,245.0,77.0
Solomon Islands,2018,151.0,16.0,242.0,75.0
Solomon Islands,2019,150.0,16.0,243.0,77.0
Solomon Islands,2020,150.0,24.0,256.0,82.0
Somalia,2004,1.0,17.0,64.0,46.0
Somalia,2010,51.0,21.0,128.0,56.0
Somalia,2016,62.0,43.0,171.0,66.0
Somalia,2017,62.0,46.0,175.0,67.0
Somalia,2018,62.0,46.0,179.0,71.0
Somalia,2019,62.0,49.0,187.0,76.0
Somalia,2020,62.0,53.0,199.0,84.0
South Africa,2004,127.0,75.0,357.0,155.0
South Africa,2010,159.0,97.0,441.0,185.0
South Africa,2016,202.0,116.0,537.0,219.0
South Africa,2017,202.0,146.0,581.0,233.0
South Africa,2018,208.0,151.0,607.0,248.0
South Africa,2019,208.0,153.0,603.0,242.0
South Africa,2020,196.0,154.0,597.0,247.0
South Georgia & Sandwich Is.,2004,0.0,0.0,12.0,12.0
South Georgia & Sandwich Is.,2010,0.0,0.0,10.0,10.0
South Georgia & Sandwich Is.,2016,0.0,0.0,9.0,9.0
South Georgia & Sandwich Is.,2017,0.0,0.0,9.0,9.0
South Georgia & Sandwich Is.,2018,0.0,0.0,9.0,9.0
South Georgia & Sandwich Is.,2019,0.0,0.0,9.0,9.0
